"DepartmentName",idDepartment,idFaculty
"Кафедра географії та екології",1,1
"Кафедра біології людини та імунології",2,1
"Кафедра ботаніки",3,1
"Кафедра педагогіки імені проф. Є. Петухова",4,2
"Кафедра спеціальної освіти",5,2
"Кафедра теорії та методики дошкільної та початкової освіти",6,2
"Кафедра педагогіки та психології дошкільної та початкової освіти",7,2
"Кафедра галузевого права",8,3
"Кафедра готельно-ресторанного та туристичного бізнесу",9,3
"Кафедра економіки, менеджменту та адміністрування",10,3
"Кафедра публічного та міжнародного права і правоохоронної діяльності",11,3
"Кафедра фінансів, обліку та підприємництва",12,3
"Кафедра aнглійської мови та методики її викладання",13,4
"Кафедра англійської філології та прикладної лінгвістики",14,4
"Кафедра німецької та романської філології",15,4
"Кафедра слов’янської філології та світової літератури імені професора О.Мішукова",16,4
"Кафедра української філології та журналістики",17,4
"Кафедра музичного мистецтва",18,5
"Кафедра культурології",19,5
"Кафедра образотворчого мистецтва і дизайну",20,5
"Кафедра хореографічного мистецтва",21,5
"Кафедра медицини",22,6
"Кафедра фізичної терапії та ерготерапії",23,6
"Кафедра хімії та фармації",24,6
"Кафедра соціальної роботи, соціальної педагогіки та соціології",25,7
"Кафедра психології",26,7
"Кафедра історії, археології та методики викладання",27,7
"Кафедра інформатики, програмної інженерії та економічної кібернетики",28,8
"Кафедра фізики та методики її навчання",29,8
"Кафедра алгебри, геометрії та математичного аналізу",30,8
"Кафедра медико-біологічних основ фізичного виховання та спорту",31,9
"Кафедра теорії та методики фізичного виховання",32,9
"Кафедра олімпійського та професійного спорту",33,9
