idDepartment,studentsQuantityBachelorFulltime,studentsQuantityBachelorExtramural,studentsQuantityMasterFulltime,studentsQuantityMasterExtramural,index
2,45,0,16,4,1.2
1,25,0,10,3,1.2
2,26,1,13,4,1.6
3,0,0,16,0,1.6
1,13,0,16,0,1.6
1,4,0,7,0,1.2
1,15,2,13,0,1.2
4,87,38,31,15,1.2
6,126,36,54,16,1.2
13,109,0,20,10,1.2
15,1,0,0,0,1.2
13,18,0,0,0,1.2
16,2,0,0,0,1.2
15,30,0,0,0,1.2
14,37,0,0,0,1.2
14,33,0,0,0,1.2
14,18,0,23,1,1.2
15,0,0,6,0,1.2
15,0,0,9,0,1.2
15,0,0,8,0,1.2
17,0,0,6,0,1.2
17,10,0,0,0,1.2
14,6,0,7,0,1.2
20,39,0,0,0,2
18,19,0,0,0,3
21,21,0,0,0,2
19,8,1,1,0,1
23,27,9,0,0,2
24,17,0,0,0,1.2
24,7,0,0,0,2
24,6,0,1,0,1.6
22,57,5,16,0,1.2
22,0,0,0,0,2.5
26,32,3,1,1,1
25,8,2,0,0,1
25,22,2,9,7,1
30,32,0,4,0,1.2
29,20,0,2,0,1.2
28,14,0,0,0,1.2
28,27,0,0,0,1.2
28,4,0,0,0,1.2
28,0,0,0,0,1
28,12,1,1,1,1.2
32,60,8,7,2,1.2
31,60,2,0,0,1.2
8,13,6,1,0,1
11,0,0,0,0,1
8,1,0,0,0,1
27,41,0,7,2,1
27,5,0,0,0,1
16,89,3,0,0,1.2
17,16,0,6,0,1.2
17,17,1,1,0,1
10,7,2,1,1,1
11,3,0,0,0,1.21
12,0,0,1,0,1
10,9,1,0,0,1
10,0,0,0,0,1
12,12,3,1,0,1
9,1,0,0,0,1
9,7,0,0,0,1
9,17,0,2,1,1.2
9,1,0,0,0,1.2
9,10,2,1,0,1
9,23,0,0,0,1.2
