Faculty,Галузь знань,DENNA_BACHELOR,DENNA_MASTER,ZAOCHNA_BACHELOR,ZAOCHNA_MASTER,INDEX_IS
"ФАКУЛЬТЕТ БІОЛОГІЇ, ГЕОГРАФІЇ ТА ЕКОЛОГІЇ",01 Освіта/Педагогіка,70,16,0,4,1.2
,09 Біологія,26,29,1,4,1.6
,10 Природничі науки,13,16,0,0,1.6
,10 Природничі науки,19,20,2,0,1.2
ПЕДАГОГІЧНИЙ ФАКУЛЬТЕТ,01 Освіта/Педагогіка,213,85,74,31,1.2
ФАКУЛЬТЕТ ІНОЗЕМНОЇ ФІЛОЛОГІЇ,01 Освіта/Педагогіка,230,43,0,11,1.2
,03 Гуманітарні науки,34,59,0,1,1.2
ФАКУЛЬТЕТ КУЛЬТУРИ І МИСТЕЦТВ,02 Культура і мистецтво,60,22,0,0,2.0
,03 Гуманітарні науки,8,8,1,1,1.0
,02 Культура і мистецтво,19,5,0,0,3.0
МЕДИЧНИЙ ФАКУЛЬТЕТ,01 Освіта/Педагогіка,74,28,5,16,1.2
,22 Охорона здоров'я,34,8,9,0,2.0
,22 Охорона здоров'я,0,11,0,0,2.5
,10 Природничі науки,6,5,0,1,1.6
СОЦІАЛЬНО-ПСИХОЛОГІЧНИЙ ФАКУЛЬТЕТ,05 Соціальні та поведінкові науки,40,22,5,1,1.0
,23 Соціальна робота,22,30,2,9,1.0
"ФАКУЛЬТЕТ КОМП'ЮТЕРНИХ НАУК, ФІЗИКИ ТА МАТЕМАТИКИ ",01 Освіта/Педагогіка,66,39,0,6,1.2
,12 Інформаційні технології,43,40,1,1,1.2
,07 Управління та адміністрування,0,0,0,0,1.0
ФАКУЛЬТЕТ ФІЗИЧНОГО ВИХОВАННЯ ТА СПОРТУ,01 Освіта/Педагогіка,120,41,11,7,1.2
ФАКУЛЬТЕТ УКРАЇНСЬКОЇ ФІЛОЛОГІЇ ТА ЖУРНАЛІСТИКИ,06 Журналістика,17,5,1,1,1.0
,03 Гуманітарні науки,16,15,0,6,1.2
,01 Освіта/Педагогіка,89,0,3,0,1.2
ІСТОРИКО-ЮРИДИЧНИЙ ФАКУЛЬТЕТ,08 Право,13,13,6,1,1.0
,26 Цивільна безпека,0,0,0,0,1.2
,29 Міжнародні відносини,1,0,0,0,1.2
,01 Освіта/Педагогіка,41,10,0,7,1.2
,03 Гуманітарні науки,5,8,0,0,1.0
ФАКУЛЬТЕТ ЕКОНОМІКИ І МЕНЕДЖМЕНТУ,07 Управління та адміністрування,29,26,6,3,1.0
,29 Міжнародні відносини,3,0,0,0,1.2
,28 Публічне управління та адміністрування,0,9,0,0,1.0
,01 Освіта/Педагогіка,51,21,0,2,1.2
,24 Сфера обслуговування,10,9,2,1,1.0
